# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: ./emapper.py  -i GCF_000963815.1_ASM96381v1_protein.faa --output GCF_000963815.1_ASM96381v1_protein.faa.eggnog -m diamond --target_orthologs all --cpu 14
# time: Tue Jun 16 14:05:02 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
WP_000070453.1	470.IX87_00825	3.5e-143	514.2	Moraxellaceae													Bacteria	1R3Q4@1224,1RQ45@1236,3NJXC@468,COG1024@1,COG1024@2	NA|NA|NA	I	Enoyl-CoA hydratase/isomerase
WP_000070779.1	470.IX87_06550	7.1e-175	619.8	Moraxellaceae	miaA	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006417,GO:0006725,GO:0006807,GO:0006950,GO:0008033,GO:0008150,GO:0008152,GO:0009266,GO:0009408,GO:0009451,GO:0009628,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016070,GO:0016740,GO:0016765,GO:0019222,GO:0031323,GO:0031326,GO:0032268,GO:0033554,GO:0034248,GO:0034470,GO:0034605,GO:0034641,GO:0034660,GO:0040007,GO:0043170,GO:0043412,GO:0043555,GO:0044237,GO:0044238,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051246,GO:0051716,GO:0052381,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1990497,GO:2000112,GO:2000765	2.5.1.75	ko:K00791	ko00908,ko01100,ko01110,map00908,map01100,map01110		R01122	RC02820	ko00000,ko00001,ko01000,ko01006,ko03016				Bacteria	1MUB2@1224,1RMDU@1236,3NJ8H@468,COG0324@1,COG0324@2	NA|NA|NA	F	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
WP_000070796.1	470.IX87_19040	2e-250	871.3	Moraxellaceae													Bacteria	1MW1J@1224,1RYAY@1236,3NJ7W@468,COG0661@1,COG0661@2	NA|NA|NA	S	ABC1 family
WP_000070815.1	470.IX87_09675	2.4e-259	901.0	Moraxellaceae	cycA			ko:K03293,ko:K11737					ko00000,ko02000	2.A.3.1,2.A.3.1.7			Bacteria	1MUPS@1224,1RPFT@1236,3NJUE@468,COG1113@1,COG1113@2	NA|NA|NA	E	Amino acid permease
WP_000070856.1	470.IX87_11060	8.8e-243	845.9	Moraxellaceae	xanP	GO:0003674,GO:0005215,GO:0005345,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006863,GO:0008150,GO:0015205,GO:0015851,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0042906,GO:0042907,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072530,GO:1904823		ko:K03458,ko:K16345					ko00000,ko02000	2.A.40,2.A.40.4.2		iSDY_1059.SDY_4086	Bacteria	1MUN9@1224,1RMGW@1236,3NIRB@468,COG2233@1,COG2233@2	NA|NA|NA	F	Permease family
WP_000070912.1	1046625.AFQY01000004_gene2819	5.2e-50	203.4	Moraxellaceae	rpsJ	GO:0001072,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006355,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0015935,GO:0019219,GO:0019222,GO:0019538,GO:0022626,GO:0022627,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043244,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0140110,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:1990904,GO:2000112,GO:2001141		ko:K02946	ko03010,map03010	M00178,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1RGWF@1224,1S3QX@1236,3NNK0@468,COG0051@1,COG0051@2	NA|NA|NA	J	Involved in the binding of tRNA to the ribosomes
WP_000071231.1	470.IX87_04590	1.3e-137	495.7	Moraxellaceae													Bacteria	1MW50@1224,1RRIH@1236,3NM5U@468,COG1028@1,COG1028@2	NA|NA|NA	IQ	Enoyl-(Acyl carrier protein) reductase
WP_000071499.1	520709.F985_03780	3.3e-225	787.3	Moraxellaceae	yhiN	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464		ko:K07007					ko00000				Bacteria	1MUGC@1224,1RNCW@1236,3NJQ8@468,COG2081@1,COG2081@2	NA|NA|NA	S	HI0933-like protein
WP_000071653.1	470.IX87_12415	5.2e-273	946.4	Moraxellaceae	astD	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0055114	1.2.1.71	ko:K06447	ko00330,ko01100,map00330,map01100		R05049	RC00080	ko00000,ko00001,ko01000				Bacteria	1MV2I@1224,1RPQW@1236,3NISM@468,COG1012@1,COG1012@2	NA|NA|NA	C	Catalyzes the NAD-dependent reduction of succinylglutamate semialdehyde into succinylglutamate
WP_000071881.1	470.IX87_10185	6.2e-102	376.7	Moraxellaceae	wrbA		1.6.5.2	ko:K03809	ko00130,ko01110,map00130,map01110		R02964,R03643,R03816	RC00819	ko00000,ko00001,ko01000				Bacteria	1MW7N@1224,1RPXM@1236,3NKG0@468,COG0655@1,COG0655@2	NA|NA|NA	S	Flavodoxin domain
WP_000071984.1	470.IX87_09535	4.5e-202	710.3	Moraxellaceae	purM	GO:0003674,GO:0003824,GO:0004641,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016882,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.3.1,6.3.4.13	ko:K01933,ko:K11788	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04144,R04208	RC00090,RC00166,RC01100	ko00000,ko00001,ko00002,ko01000			iAF987.Gmet_1844,iECSF_1327.ECSF_2340	Bacteria	1MURG@1224,1RNZZ@1236,3NJMQ@468,COG0150@1,COG0150@2	NA|NA|NA	F	Phosphoribosylformylglycinamidine cyclo-ligase
WP_000072126.1	871585.BDGL_000549	1.6e-31	141.4	Moraxellaceae	cspV			ko:K03704					ko00000,ko03000				Bacteria	1N6Q5@1224,1SCA7@1236,3NPBG@468,COG1278@1,COG1278@2	NA|NA|NA	K	Cold shock protein domain
WP_000072673.1	470.IX87_04440	2.3e-33	147.5	Moraxellaceae	cspV			ko:K03704					ko00000,ko03000				Bacteria	1N6Q5@1224,1SCA7@1236,3NQ0R@468,COG1278@1,COG1278@2	NA|NA|NA	K	'Cold-shock' DNA-binding domain
WP_000072941.1	575564.HMPREF0014_00246	1.7e-190	671.8	Moraxellaceae	trpS	GO:0003674,GO:0003824,GO:0004812,GO:0004830,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006436,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.2	ko:K01867	ko00970,map00970	M00359,M00360	R03664	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016				Bacteria	1MV4T@1224,1RNDC@1236,3NIKH@468,COG0180@1,COG0180@2	NA|NA|NA	J	Belongs to the class-I aminoacyl-tRNA synthetase family
WP_000072985.1	871585.BDGL_001561	8.9e-17	92.8	Moraxellaceae													Bacteria	1QPE0@1224,1TN3T@1236,2AZNA@1,31RX5@2,3NPY1@468	NA|NA|NA		
WP_000073454.1	470.IX87_14295	1.6e-233	815.1	Moraxellaceae	rutG	GO:0003674,GO:0005215,GO:0005350,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006139,GO:0006206,GO:0006208,GO:0006212,GO:0006725,GO:0006807,GO:0006810,GO:0006855,GO:0008150,GO:0008152,GO:0009056,GO:0009112,GO:0009987,GO:0015205,GO:0015210,GO:0015238,GO:0015851,GO:0015855,GO:0015857,GO:0015893,GO:0016020,GO:0016021,GO:0017144,GO:0019860,GO:0022857,GO:0031224,GO:0031226,GO:0034641,GO:0042221,GO:0042493,GO:0042737,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044459,GO:0044464,GO:0046113,GO:0046483,GO:0046700,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072527,GO:0072529,GO:0072531,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1903791,GO:1904082		ko:K02824,ko:K03458,ko:K09016,ko:K16345					ko00000,ko02000	2.A.40,2.A.40.1.1,2.A.40.1.2,2.A.40.1.3,2.A.40.4.2		iECO103_1326.ECO103_1052,iECUMN_1333.ECUMN_1189	Bacteria	1MUN9@1224,1RRK5@1236,3NJBQ@468,COG2233@1,COG2233@2	NA|NA|NA	F	Permease family
WP_000073511.1	470.IX87_07715	0.0	1811.2	Moraxellaceae													Bacteria	1R858@1224,1T1NY@1236,3NM81@468,COG0741@1,COG0741@2	NA|NA|NA	M	lytic transglycosylase activity
WP_000073989.1	466088.CL42_09115	7.2e-261	906.4	Moraxellaceae	pcrA1		3.6.4.12	ko:K03656,ko:K03657,ko:K16898	ko03420,ko03430,map03420,map03430				ko00000,ko00001,ko01000,ko03400				Bacteria	1R3YI@1224,1RSGF@1236,3NQJ6@468,COG0210@1,COG0210@2	NA|NA|NA	L	UvrD-like helicase C-terminal domain
WP_000074557.1	470.IX87_13965	2.7e-235	820.8	Moraxellaceae	pncB	GO:0003674,GO:0003824,GO:0004516,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009266,GO:0009408,GO:0009435,GO:0009628,GO:0009987,GO:0016874,GO:0016879,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0050896,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.4.21	ko:K00763	ko00760,ko01100,map00760,map01100		R01724	RC00033	ko00000,ko00001,ko01000			iAF1260.b0931,iBWG_1329.BWG_0783,iECDH10B_1368.ECDH10B_1001,iECDH1ME8569_1439.ECDH1ME8569_0882,iECIAI39_1322.ECIAI39_2216,iETEC_1333.ETEC_0999,iEcDH1_1363.EcDH1_2712,iEcSMS35_1347.EcSMS35_2189,iJO1366.b0931,iJR904.b0931,iUMNK88_1353.UMNK88_1085,iY75_1357.Y75_RS04840	Bacteria	1MV8U@1224,1RQWS@1236,3NIZE@468,COG1488@1,COG1488@2	NA|NA|NA	F	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP
WP_000074694.1	470.IX87_00820	8.4e-102	376.3	Moraxellaceae	pnuC			ko:K03811					ko00000,ko02000	4.B.1.1			Bacteria	1RHIW@1224,1S7EA@1236,3NM04@468,COG3201@1,COG3201@2	NA|NA|NA	H	Nicotinamide mononucleotide transporter
WP_000075011.1	470.IX87_16185	1.6e-163	582.0	Moraxellaceae													Bacteria	1R81I@1224,1S83C@1236,3NJPS@468,COG0697@1,COG0697@2	NA|NA|NA	EG	EamA-like transporter family
WP_000075224.1	470.IX87_07945	2.2e-210	738.0	Moraxellaceae	mrdB	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0008360,GO:0016020,GO:0022603,GO:0022604,GO:0044464,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0065007,GO:0065008,GO:0071944		ko:K05837					ko00000,ko03036				Bacteria	1MUK3@1224,1RMEJ@1236,3NJBT@468,COG0772@1,COG0772@2	NA|NA|NA	M	Peptidoglycan polymerase that is essential for cell wall elongation
WP_000075461.1	470.IX87_06180	8.6e-243	845.9	Moraxellaceae													Bacteria	1MX8C@1224,1RSDV@1236,3NM63@468,COG3182@1,COG3182@2	NA|NA|NA	S	PepSY-associated TM region
WP_000075472.1	470.IX87_13705	7.9e-274	949.1	Moraxellaceae	murC	GO:0000166,GO:0000270,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008763,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0030203,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0035639,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0046872,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576	6.3.2.45,6.3.2.8	ko:K01924,ko:K02558	ko00471,ko00550,ko01100,map00471,map00550,map01100		R03193	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011			iECP_1309.ECP_0093,iJN678.murC	Bacteria	1MV68@1224,1RN88@1236,3NK5E@468,COG0773@1,COG0773@2	NA|NA|NA	M	Belongs to the MurCDEF family
WP_000075489.1	470.IX87_13075	2.8e-152	544.7	Moraxellaceae	yedA												Bacteria	1N024@1224,1RSNH@1236,3NJJ7@468,COG0697@1,COG0697@2	NA|NA|NA	EG	EamA-like transporter family
WP_000075891.1	470.IX87_06860	4.2e-267	926.8	Moraxellaceae	dnaB		3.6.4.12	ko:K02314	ko03030,ko04112,map03030,map04112				ko00000,ko00001,ko01000,ko03032				Bacteria	1MUG9@1224,1RPM2@1236,3NK54@468,COG0305@1,COG0305@2	NA|NA|NA	L	it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins
WP_000076101.1	470.IX87_12800	2.7e-129	468.0	Moraxellaceae	pilO			ko:K02664					ko00000,ko02035,ko02044				Bacteria	1RBGW@1224,1RRN7@1236,3NJ8W@468,COG3167@1,COG3167@2	NA|NA|NA	NU	Pilus assembly protein, PilO
WP_000076368.1	871585.BDGL_000550	1.8e-08	64.3	Moraxellaceae													Bacteria	1QPJF@1224,1TN9X@1236,2AZT2@1,31S2B@2,3NQ89@468	NA|NA|NA		
WP_000076440.1	202955.BBND01000006_gene2854	2e-129	468.4	Moraxellaceae													Bacteria	1Q2S0@1224,1RQZZ@1236,3NIJK@468,COG0745@1,COG0745@2	NA|NA|NA	K	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
WP_000076817.1	871585.BDGL_001117	8.2e-90	336.3	Moraxellaceae	antB		1.14.12.1,1.14.12.10	ko:K05550,ko:K05600	ko00362,ko00364,ko00622,ko00627,ko01100,ko01120,ko01220,map00362,map00364,map00622,map00627,map01100,map01120,map01220	M00551,M00637	R00823,R00825,R05290,R05291,R05428,R05621,R05622,R05665,R08100,R08101,R08108,R08109,R08110	RC00192,RC00270,RC01378,RC01450,RC01910	br01602,ko00000,ko00001,ko00002,ko01000				Bacteria	1RDSS@1224,1S7S2@1236,3NJUB@468,COG5517@1,COG5517@2	NA|NA|NA	Q	Ring hydroxylating beta subunit
WP_000077305.1	470.IX87_10905	4.4e-91	340.5	Moraxellaceae	erfK												Bacteria	1RHBG@1224,1S6DY@1236,3NN3W@468,COG1376@1,COG1376@2	NA|NA|NA	S	L,D-transpeptidase catalytic domain
WP_000077461.1	470.IX87_03750	1.9e-200	704.9	Moraxellaceae	paaE	GO:0000166,GO:0003674,GO:0005488,GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0036094,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0050896,GO:0051536,GO:0051537,GO:0051540,GO:0051716,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0097159,GO:0098754,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575		ko:K02613	ko00360,ko01120,map00360,map01120		R09838	RC02690	ko00000,ko00001			iEcHS_1320.EcHS_A1479	Bacteria	1MY2Q@1224,1RQZ8@1236,3NJQ0@468,COG1018@1,COG1018@2	NA|NA|NA	C	Oxidoreductase FAD-binding domain
WP_000077667.1	470.IX87_09795	2.6e-76	291.2	Moraxellaceae													Bacteria	1RGSM@1224,1SNXX@1236,3NNBD@468,COG4319@1,COG4319@2	NA|NA|NA	S	Domain of unknown function (DUF4440)
WP_000077814.1	470.IX87_12540	5.9e-230	803.1	Moraxellaceae	serA	GO:0003674,GO:0003824,GO:0004617,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006807,GO:0008150,GO:0008152,GO:0008219,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0012501,GO:0016053,GO:0016491,GO:0016597,GO:0016614,GO:0016616,GO:0019752,GO:0031406,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0047545,GO:0055114,GO:0070905,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.399,1.1.1.95	ko:K00058	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R01513	RC00031	ko00000,ko00001,ko00002,ko01000,ko04147			iYL1228.KPN_03348	Bacteria	1MU5Z@1224,1RPEY@1236,3NINV@468,COG0111@1,COG0111@2	NA|NA|NA	EH	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
WP_000077968.1	575564.HMPREF0014_01976	1.7e-232	811.6	Moraxellaceae													Bacteria	1MVE0@1224,1RR6H@1236,3NIRV@468,COG1902@1,COG1902@2	NA|NA|NA	C	NADH:flavin oxidoreductase / NADH oxidase family
WP_000078385.1	487316.BBNM01000010_gene2454	4.3e-31	140.6	Moraxellaceae	hvrA			ko:K03746					ko00000,ko03036,ko03400				Bacteria	1N801@1224,1SF10@1236,3NNVZ@468,COG2916@1,COG2916@2	NA|NA|NA	S	Domain in histone-like proteins of HNS family
WP_000078452.1	470.IX87_20940	6.2e-238	829.7	Moraxellaceae	eno	GO:0000015,GO:0000287,GO:0003674,GO:0003824,GO:0004634,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009986,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016835,GO:0016836,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0032991,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042802,GO:0042866,GO:0043167,GO:0043169,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902494	4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147			iPC815.YPO3376	Bacteria	1MU1N@1224,1RNQA@1236,3NK1I@468,COG0148@1,COG0148@2	NA|NA|NA	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
WP_000078676.1	470.IX87_09010	8.4e-66	256.1	Moraxellaceae													Bacteria	1N8IC@1224,1SC7W@1236,2E4VX@1,32ZQ3@2,3NN7F@468	NA|NA|NA	S	Protein of unknown function (DUF3144)
WP_000078700.1	470.IX87_02890	9.8e-277	958.7	Moraxellaceae	alaA	GO:0003674,GO:0003824,GO:0004021,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006090,GO:0006520,GO:0006522,GO:0006523,GO:0006807,GO:0006950,GO:0006974,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009078,GO:0009079,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016769,GO:0019272,GO:0019752,GO:0019842,GO:0030170,GO:0030632,GO:0032787,GO:0033554,GO:0036094,GO:0040007,GO:0042221,GO:0042851,GO:0042852,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044464,GO:0046144,GO:0046145,GO:0046394,GO:0046416,GO:0046436,GO:0046437,GO:0046677,GO:0047635,GO:0048037,GO:0050662,GO:0050896,GO:0051716,GO:0070279,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.6.1.2,2.6.1.66	ko:K00814,ko:K14260	ko00220,ko00250,ko00290,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00220,map00250,map00290,map00710,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00171	R00258,R01215	RC00006,RC00008,RC00036	ko00000,ko00001,ko00002,ko01000,ko01007			iNJ661.Rv0337c	Bacteria	1MW0Z@1224,1RN5B@1236,3NJ6Z@468,COG0436@1,COG0436@2	NA|NA|NA	E	Aminotransferase
WP_000078875.1	470.IX87_16725	2.6e-185	654.4	Moraxellaceae	lpxL		2.3.1.241	ko:K02517	ko00540,ko01100,map00540,map01100	M00060	R05146	RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01005				Bacteria	1MVNI@1224,1RMZ5@1236,3NJM6@468,COG1560@1,COG1560@2	NA|NA|NA	M	Catalyzes the transfer of laurate from lauroyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)- (lauroyl)-lipid IV(A)
WP_000079186.1	470.IX87_11650	1.7e-309	1067.8	Moraxellaceae	CP_0318			ko:K06132	ko00564,ko01100,map00564,map01100		R11062	RC00017	ko00000,ko00001,ko01000				Bacteria	1MUDJ@1224,1RMIF@1236,3NK7J@468,COG1502@1,COG1502@2	NA|NA|NA	I	Phospholipase D
WP_000079197.1	470.IX87_12620	1e-179	636.0	Moraxellaceae	pilW1			ko:K02672					ko00000,ko02035,ko02044				Bacteria	1RCW2@1224,1S36J@1236,3NMPE@468,COG4966@1,COG4966@2	NA|NA|NA	NU	Type IV Pilus-assembly protein W
WP_000079402.1	1217656.F964_03901	9.5e-204	716.1	Moraxellaceae													Bacteria	1MVE0@1224,1RR6H@1236,3NKH7@468,COG1902@1,COG1902@2	NA|NA|NA	C	NADH:flavin oxidoreductase / NADH oxidase family
WP_000079420.1	470.IX87_02795	1.1e-155	555.8	Moraxellaceae	metQ3			ko:K02073	ko02010,map02010	M00238			ko00000,ko00001,ko00002,ko02000	3.A.1.24			Bacteria	1MUVY@1224,1RYJQ@1236,3NJG3@468,COG1464@1,COG1464@2	NA|NA|NA	P	NLPA lipoprotein
WP_000079982.1	228399.appser1_5610	1.4e-26	126.3	Pasteurellales													Bacteria	1Q12S@1224,1TFXB@1236,1YAEE@135625,2975H@1,32GM8@2	NA|NA|NA	S	Domain of unknown function (DUF4760)
