# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	530383	530697	+	WP_000619820.1	WP_000619820.1		sulfurtransferase			ABUW_RS02560	315	104	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	530749	532620	-							ABUW_RS02565	1872		old_locus_tag=ABUW_0522
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	530749	532620	-	WP_001043524.1	WP_001043524.1		bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC			ABUW_RS02565	1872	623	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	532644	533123	-							ABUW_RS02570	480		old_locus_tag=ABUW_0523
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	532644	533123	-	WP_001175201.1	WP_001175201.1		hypothetical protein			ABUW_RS02570	480	159	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	533128	533430	-							ABUW_RS02575	303		old_locus_tag=ABUW_0524
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	533128	533430	-	WP_001115787.1	WP_001115787.1		hypothetical protein			ABUW_RS02575	303	100	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	533465	534079	-							ABUW_RS02580	615		old_locus_tag=ABUW_0525
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	533465	534079	-	WP_000645707.1	WP_000645707.1		septation protein IspZ			ABUW_RS02580	615	204	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	534124	534975	+							ABUW_RS02585	852		old_locus_tag=ABUW_0526
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	534124	534975	+	WP_001161539.1	WP_001161539.1		PHP domain-containing protein			ABUW_RS02585	852	283	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	534983	535894	-							ABUW_RS02590	912		old_locus_tag=ABUW_0527
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	534983	535894	-	WP_000637023.1	WP_000637023.1		bestrophin			ABUW_RS02590	912	303	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	535956	536675	-					radC		ABUW_RS02595	720		old_locus_tag=ABUW_0528
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	535956	536675	-	WP_085920667.1	WP_085920667.1		DNA repair protein RadC	radC		ABUW_RS02595	720	239	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	536776	538029	+					coaBC		ABUW_RS02600	1254		old_locus_tag=ABUW_0529
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	536776	538029	+	WP_000006958.1	WP_000006958.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC		ABUW_RS02600	1254	417	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	538095	539060	-					secF		ABUW_RS02605	966		old_locus_tag=ABUW_0530
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	538095	539060	-	WP_001985897.1	WP_001985897.1		protein translocase subunit SecF	secF		ABUW_RS02605	966	321	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	539069	540970	-					secD		ABUW_RS02610	1902		old_locus_tag=ABUW_0531
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	539069	540970	-	WP_001270222.1	WP_001270222.1		protein translocase subunit SecD	secD		ABUW_RS02610	1902	633	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	541022	541351	-					yajC		ABUW_RS02615	330		old_locus_tag=ABUW_0532
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	541022	541351	-	WP_000051669.1	WP_000051669.1		preprotein translocase subunit YajC	yajC		ABUW_RS02615	330	109	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	541450	542583	-					tgt		ABUW_RS02620	1134		old_locus_tag=ABUW_0533
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	541450	542583	-	WP_000667229.1	WP_000667229.1		tRNA guanosine(34) transglycosylase Tgt	tgt		ABUW_RS02620	1134	377	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	542759	543328	-							ABUW_RS02625	570		old_locus_tag=ABUW_0534
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	542759	543328	-	WP_000147160.1	WP_000147160.1		LemA family protein			ABUW_RS02625	570	189	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	543415	544443	-							ABUW_RS02630	1029		old_locus_tag=ABUW_0535
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	543415	544443	-	WP_001121110.1	WP_001121110.1		hypothetical protein			ABUW_RS02630	1029	342	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	544597	545634	-					queA		ABUW_RS02635	1038		old_locus_tag=ABUW_0536
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	544597	545634	-	WP_001177136.1	WP_001177136.1		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA		ABUW_RS02635	1038	345	
gene	tRNA	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	545816	545902	+							ABUW_RS02640	87		old_locus_tag=ABUW_0537
tRNA		GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	545816	545902	+				tRNA-Leu			ABUW_RS02640	87		anticodon=CAA
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	546080	547147	+							ABUW_RS02645	1068		old_locus_tag=ABUW_0538
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	546080	547147	+	WP_000107855.1	WP_000107855.1		site-specific integrase			ABUW_RS02645	1068	355	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547175	547471	-							ABUW_RS02650	297		old_locus_tag=ABUW_0539
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547175	547471	-	WP_000218943.1	WP_000218943.1		hypothetical protein			ABUW_RS02650	297	98	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547468	547689	-							ABUW_RS02655	222		old_locus_tag=ABUW_0540
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547468	547689	-	WP_000424605.1	WP_000424605.1		hypothetical protein			ABUW_RS02655	222	73	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547699	548436	-							ABUW_RS02660	738		old_locus_tag=ABUW_0541
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	547699	548436	-	WP_000125747.1	WP_000125747.1		3'-5' exonuclease			ABUW_RS02660	738	245	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	548446	548799	-					ssb		ABUW_RS02665	354		old_locus_tag=ABUW_0542
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	548446	548799	-	WP_002014678.1	WP_002014678.1		single-stranded DNA-binding protein	ssb		ABUW_RS02665	354	117	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	548787	549104	-							ABUW_RS02670	318		old_locus_tag=ABUW_0543
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	548787	549104	-	WP_000049658.1	WP_000049658.1		hypothetical protein			ABUW_RS02670	318	105	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549097	549267	-							ABUW_RS20420	171		old_locus_tag=ABUW_0544
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549097	549267	-	WP_001015076.1	WP_001015076.1		hypothetical protein			ABUW_RS20420	171	56	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549257	549808	-							ABUW_RS02675	552		old_locus_tag=ABUW_0545
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549257	549808	-	WP_001178668.1	WP_001178668.1		hypothetical protein			ABUW_RS02675	552	183	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549874	550206	-							ABUW_RS02680	333		old_locus_tag=ABUW_0546
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	549874	550206	-	WP_000632296.1	WP_000632296.1		hypothetical protein			ABUW_RS02680	333	110	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	550203	552941	-							ABUW_RS02685	2739		old_locus_tag=ABUW_0547
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	550203	552941	-	WP_002014340.1	WP_002014340.1		toprim domain-containing protein			ABUW_RS02685	2739	912	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553035	553226	-							ABUW_RS02690	192		old_locus_tag=ABUW_0548
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553035	553226	-	WP_001043481.1	WP_001043481.1		hypothetical protein			ABUW_RS02690	192	63	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553319	553660	+							ABUW_RS02695	342		old_locus_tag=ABUW_0549
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553319	553660	+	WP_000786719.1	WP_000786719.1		helix-turn-helix transcriptional regulator			ABUW_RS02695	342	113	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553705	553920	-							ABUW_RS02700	216		old_locus_tag=ABUW_0550
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	553705	553920	-	WP_000556351.1	WP_000556351.1		hypothetical protein			ABUW_RS02700	216	71	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	554045	554860	-							ABUW_RS02705	816		old_locus_tag=ABUW_0551
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	554045	554860	-	WP_001094886.1	WP_001094886.1		Rha family transcriptional regulator			ABUW_RS02705	816	271	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	554968	555162	-							ABUW_RS02710	195		old_locus_tag=ABUW_0552
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	554968	555162	-	WP_000696053.1	WP_000696053.1		hypothetical protein			ABUW_RS02710	195	64	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	555472	556350	+							ABUW_RS02715	879		old_locus_tag=ABUW_0553
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	555472	556350	+	WP_000417952.1	WP_000417952.1		hypothetical protein			ABUW_RS02715	879	292	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	556350	556631	+							ABUW_RS02720	282		old_locus_tag=ABUW_0554
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	556350	556631	+	WP_000713873.1	WP_000713873.1		hypothetical protein			ABUW_RS02720	282	93	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	556947	557147	-							ABUW_RS02730	201		old_locus_tag=ABUW_0555
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	556947	557147	-	WP_000130085.1	WP_000130085.1		TraR/DksA C4-type zinc finger protein			ABUW_RS02730	201	66	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	557144	557383	-							ABUW_RS02735	240		old_locus_tag=ABUW_0556
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	557144	557383	-	WP_000113725.1	WP_000113725.1		ogr/Delta-like zinc finger family protein			ABUW_RS02735	240	79	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	557513	558826	-							ABUW_RS02740	1314		old_locus_tag=ABUW_0557
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	557513	558826	-	WP_000483061.1	WP_000483061.1		primase			ABUW_RS02740	1314	437	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	558827	559267	-							ABUW_RS02745	441		old_locus_tag=ABUW_0558
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	558827	559267	-	WP_000979757.1	WP_000979757.1		phage tail protein			ABUW_RS02745	441	146	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	559273	561723	-							ABUW_RS02750	2451		old_locus_tag=ABUW_0559
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	559273	561723	-	WP_000774268.1	WP_000774268.1		phage tail tape measure protein			ABUW_RS02750	2451	816	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	561809	562899	-							ABUW_RS19680	1091		
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	561809	562899	-	WP_085940648.1	WP_085940648.1		IS4 family transposase ISAba1			ABUW_RS19680	1092	363	ribosomal_slippage
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	562998	563819	+							ABUW_RS02765	822		old_locus_tag=ABUW_0563
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	562998	563819	+	WP_001046004.1	WP_001046004.1		carbapenem-hydrolyzing class D beta-lactamase OXA-23			ABUW_RS02765	822	273	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	563924	564676	-							ABUW_RS02770	753		old_locus_tag=ABUW_0564
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	563924	564676	-	WP_079264522.1	WP_079264522.1		DUF815 domain-containing protein			ABUW_RS02770	753	250	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	564679	565020	-							ABUW_RS02775	342		old_locus_tag=ABUW_0565
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	564679	565020	-	WP_001071615.1	WP_001071615.1		phage tail assembly protein			ABUW_RS02775	342	113	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	565087	565605	-							ABUW_RS02780	519		old_locus_tag=ABUW_0566
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	565087	565605	-	WP_001207612.1	WP_001207612.1		phage major tail tube protein			ABUW_RS02780	519	172	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	565618	566793	-							ABUW_RS02785	1176		old_locus_tag=ABUW_0567
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	565618	566793	-	WP_000963361.1	WP_000963361.1		phage tail sheath protein			ABUW_RS02785	1176	391	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	566943	568895	-							ABUW_RS02790	1953		old_locus_tag=ABUW_0568
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	566943	568895	-	WP_000729646.1	WP_000729646.1		phage tail protein			ABUW_RS02790	1953	650	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	568907	569512	-							ABUW_RS02795	606		old_locus_tag=ABUW_0569
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	568907	569512	-	WP_001050805.1	WP_001050805.1		phage tail protein I			ABUW_RS02795	606	201	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	569512	570414	-							ABUW_RS02800	903		old_locus_tag=ABUW_0570
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	569512	570414	-	WP_000109738.1	WP_000109738.1		baseplate J/gp47 family protein			ABUW_RS02800	903	300	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	570411	570758	-							ABUW_RS02805	348		old_locus_tag=ABUW_0571
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	570411	570758	-	WP_000987745.1	WP_000987745.1		GPW/gp25 family protein			ABUW_RS02805	348	115	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	570755	571387	-							ABUW_RS02810	633		old_locus_tag=ABUW_0572
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	570755	571387	-	WP_000990625.1	WP_000990625.1		phage baseplate assembly protein V			ABUW_RS02810	633	210	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	571460	571909	-							ABUW_RS02815	450		old_locus_tag=ABUW_0573
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	571460	571909	-	WP_001059843.1	WP_001059843.1		phage virion morphogenesis protein			ABUW_RS02815	450	149	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	571906	572433	-							ABUW_RS02820	528		old_locus_tag=ABUW_0574
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	571906	572433	-	WP_000742888.1	WP_000742888.1		phage tail protein			ABUW_RS02820	528	175	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	572430	573260	-							ABUW_RS02825	831		old_locus_tag=ABUW_0575
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	572430	573260	-	WP_000600982.1	WP_000600982.1		DUF3380 domain-containing protein			ABUW_RS02825	831	276	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573257	573526	-							ABUW_RS02830	270		old_locus_tag=ABUW_0576
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573257	573526	-	WP_000571491.1	WP_000571491.1		phage holin family protein			ABUW_RS02830	270	89	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573523	573873	-							ABUW_RS02835	351		old_locus_tag=ABUW_0577
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573523	573873	-	WP_001114936.1	WP_001114936.1		membrane protein			ABUW_RS02835	351	116	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573882	574091	-							ABUW_RS02840	210		old_locus_tag=ABUW_0578
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	573882	574091	-	WP_000659474.1	WP_000659474.1		tail protein X			ABUW_RS02840	210	69	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	574092	574544	-							ABUW_RS02845	453		old_locus_tag=ABUW_0579
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	574092	574544	-	WP_000015691.1	WP_000015691.1		head completion/stabilization protein			ABUW_RS02845	453	150	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	574648	575394	-							ABUW_RS02850	747		old_locus_tag=ABUW_0580
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	574648	575394	-	WP_000950641.1	WP_000950641.1		terminase			ABUW_RS02850	747	248	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	575405	576394	-							ABUW_RS02855	990		old_locus_tag=ABUW_0581
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	575405	576394	-	WP_001243259.1	WP_001243259.1		phage major capsid protein, P2 family			ABUW_RS02855	990	329	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	576447	577274	-							ABUW_RS02860	828		old_locus_tag=ABUW_0582
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	576447	577274	-	WP_000748563.1	WP_000748563.1		GPO family capsid scaffolding protein			ABUW_RS02860	828	275	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	577412	579220	+							ABUW_RS02865	1809		old_locus_tag=ABUW_0583
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	577412	579220	+	WP_000289874.1	WP_000289874.1		terminase			ABUW_RS02865	1809	602	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	579220	580218	+							ABUW_RS02870	999		old_locus_tag=ABUW_0584
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	579220	580218	+	WP_001284079.1	WP_001284079.1		phage portal protein			ABUW_RS02870	999	332	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	581551	582819	+							ABUW_RS02875	1269		old_locus_tag=ABUW_0585
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	581551	582819	+	WP_000194110.1	WP_000194110.1		HAMP domain-containing histidine kinase			ABUW_RS02875	1269	422	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	582888	585638	+					glnE		ABUW_RS02880	2751		old_locus_tag=ABUW_0586
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	582888	585638	+	WP_000990839.1	WP_000990839.1		bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	glnE		ABUW_RS02880	2751	916	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	585663	586589	+							ABUW_RS02885	927		old_locus_tag=ABUW_0587
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	585663	586589	+	WP_001046506.1	WP_001046506.1		branched-chain amino acid transaminase			ABUW_RS02885	927	308	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	586657	587547	+							ABUW_RS02890	891		old_locus_tag=ABUW_0588
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	586657	587547	+	WP_000548427.1	WP_000548427.1		mitochondrial fission ELM1 family protein			ABUW_RS02890	891	296	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	587570	588598	+							ABUW_RS02895	1029		old_locus_tag=ABUW_0589
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	587570	588598	+	WP_000697431.1	WP_000697431.1		glycosyltransferase family 1 protein			ABUW_RS02895	1029	342	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	588595	589350	+							ABUW_RS02900	756		old_locus_tag=ABUW_0590
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	588595	589350	+	WP_000989966.1	WP_000989966.1		polysaccharide deacetylase family protein			ABUW_RS02900	756	251	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	589347	590111	+							ABUW_RS02905	765		old_locus_tag=ABUW_0591
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	589347	590111	+	WP_001033815.1	WP_001033815.1		glycosyltransferase family 2 protein			ABUW_RS02905	765	254	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	590123	591157	+							ABUW_RS02910	1035		old_locus_tag=ABUW_0592
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	590123	591157	+	WP_000706922.1	WP_000706922.1		glycosyltransferase			ABUW_RS02910	1035	344	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	591154	592047	-							ABUW_RS02915	894		old_locus_tag=ABUW_0593
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	591154	592047	-	WP_000909270.1	WP_000909270.1		hypothetical protein			ABUW_RS02915	894	297	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	592066	592881	-							ABUW_RS02920	816		old_locus_tag=ABUW_0594
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	592066	592881	-	WP_000721907.1	WP_000721907.1		glycosyltransferase family 25 protein			ABUW_RS02920	816	271	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	593061	594188	+					wecB		ABUW_RS02925	1128		old_locus_tag=ABUW_0595
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	593061	594188	+	WP_000598629.1	WP_000598629.1		UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	wecB		ABUW_RS02925	1128	375	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	594190	594963	-							ABUW_RS02930	774		old_locus_tag=ABUW_0596
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	594190	594963	-	WP_001985908.1	WP_001985908.1		hypothetical protein			ABUW_RS02930	774	257	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	595024	595239	-							ABUW_RS02935	216		old_locus_tag=ABUW_0597
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	595024	595239	-	WP_001251490.1	WP_001251490.1		hypothetical protein			ABUW_RS02935	216	71	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	595379	597157	-					aspS		ABUW_RS02940	1779		old_locus_tag=ABUW_0598
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	595379	597157	-	WP_000986451.1	WP_000986451.1		aspartate--tRNA ligase	aspS		ABUW_RS02940	1779	592	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	597328	598092	-							ABUW_RS02945	765		old_locus_tag=ABUW_0599
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	597328	598092	-	WP_001116946.1	WP_001116946.1		DUF4184 family protein			ABUW_RS02945	765	254	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	598228	600303	+							ABUW_RS02950	2076		old_locus_tag=ABUW_0600
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	598228	600303	+	WP_000899872.1	WP_000899872.1		TonB-dependent receptor			ABUW_RS02950	2076	691	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	600379	601842	+							ABUW_RS02955	1464		old_locus_tag=ABUW_0601
